id,Latitude,Longitude,ToNde,Velocity,Capacity,Distance
12615195,52.582913369484594,13.428532477252329,26970118+564900402+76621139+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+4000.0+2000.0+,235.13900875592583+30.0+443.4615549379729+,
12615197,52.58537635694669,13.433728415478699,12615195+76607957+,10.0+16.666666666666668+,3000.0+4000.0+,478.56787717289876+431.86024620982755+,
126364048,52.46711671109018,13.289129971804007,26848599+26848677+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,203.64933530574052+30.0+,
126445437,52.48377711966116,13.351389138977579,402470629+,8.333333333333334+,2422.2+,36.69870082344317+,
12696800,52.64703493475972,13.421401501986388,12696836+27088114+,10.0+16.666666666666668+,3000.0+4000.0+,1219.2863787365914+1462.1032640629676+,
12696804,52.611617187993986,13.447889216685788,26970299+68435087+,16.666666666666668+10.0+,4000.0+3000.0+,1155.5188417069826+454.60441602514425+,
12696816,52.62762819790876,13.427695937847089,12696825+267320661+,16.666666666666668+10.0+,4000.0+3000.0+,553.4634423370651+464.4580859967044+,
12696825,52.6231219886803,13.430982778639025,76653587+,16.666666666666668+,4000.0+,1442.5149952964628+,
12696836,52.6368199602467,13.426779901555111,12696816+,16.666666666666668+,4000.0+,1025.4221087561916+,
12696845,52.64885432912382,13.421261849393252,27032492+,10.0+,1500.0+,546.5924462022424+,
12696875,52.623997194262174,13.43020178440473,12696881+,16.666666666666668+,4000.0+,1298.2796587308458+,
12696881,52.635352924949096,13.427069542776193,12696845+27088114+,10.0+10.0+,3000.0+1500.0+,1668.385777310929+1105.0214034197336+,
127896119,52.34060107861377,12.89502466735371,310013300+84662900+84662918+,3.0+8.333333333333334+8.333333333333334+,600.0+2000.0+2000.0+,1880.856172037436+30.0+30.0+,
129939559,52.46085969493339,13.418875623179746,29658454+508308243+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,1065.9483792370527+77.95420926288696+,
130074030,52.48885211352142,13.309100430410165,26731191+27452303+,8.333333333333334+8.333333333333334+,6000.0+2000.0+,82.63067514765885+30.0+,
130097525,52.463032434899056,13.326608256970697,26848809+26849000+,8.333333333333334+8.333333333333334+,4000.0+2000.0+,30.0+194.43552246823776+,
130101293,52.47447491229094,13.361467811170366,26908983+30027164+304510227+,6.0+8.333333333333334+8.333333333333334+,1700.2+2000.0+1000.0+,66.99919847008768+30.0+104.24741039841312+,
130101301,52.474247828549935,13.362965933576126,30027164+,8.333333333333334+,2000.0+,90.82356105507384+,
132477724,52.372139531251825,13.13074246764112,27371094+,8.333333333333334+,2000.0+,496.9108875902243+,
134618278,52.64982002504153,13.515625187497598,29768638+,3.0+,600.0+,834.6975973229322+,
138436574,52.4209818437136,13.463778845363645,248596497+,3.0+,1200.0+,82.30544262393754+,
138436578,52.42170317491356,13.461681900467388,138507619+650805513+,8.333333333333334+3.0+,2000.0+600.0+,30.0+624.299748417956+,
138457829,52.41765363266994,13.47799954174639,138457830+138559855+29581215+,3.0+8.333333333333334+3.0+,1200.0+1000.0+600.0+,30.0+863.6997669557873+872.230183690897+,
138457830,52.41772162601914,13.477827862779257,138457829+291010789+,3.0+3.0+,1200.0+600.0+,30.0+661.5476406528501+,
138496266,52.42566068931221,13.483301761776353,138498905+,8.333333333333334+,2399.8+,30.0+,
138496279,52.42761636337441,13.467958272662736,138628551+650805543+,8.333333333333334+3.0+,2000.0+1200.0+,30.0+49.30850834293638+,
138496287,52.42557869962705,13.4831429788001,138496266+361248093+,8.333333333333334+8.333333333333334+,2000.0+1171.9+,30.0+104.55848968163636+,
138498905,52.42575367953212,13.483175977913197,138498911+138502797+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+985.7583699112363+,
138498911,52.42567258967822,13.483027793723853,138496287+728692077+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+827.0643890138788+,
